GrandPrix/datum,GrandPrix/locatie,GrandPrix/winnaars/0/positie,GrandPrix/winnaars/0/naam,GrandPrix/winnaars/0/team,GrandPrix/winnaars/0/nationaliteit,GrandPrix/winnaars/1/positie,GrandPrix/winnaars/1/naam,GrandPrix/winnaars/1/team,GrandPrix/winnaars/1/nationaliteit,GrandPrix/winnaars/2/positie,GrandPrix/winnaars/2/naam,GrandPrix/winnaars/2/team,GrandPrix/winnaars/2/nationaliteit
2024-11-24,Las Vegas,1,George Russell,Mercedes,UK,2,Lewis Hamilton,Mercedes,UK,3,Carlos Sainz,Ferrari,ESP
2024-10-31,Sao Paolo,1,Max Verstappen,RedBull,NED,2,Esteban Ocon,Alpine,FRA,3,Pierre Gasly,Alpine,FRA
